[Sensor: Sin Wave 2] { Time: 4:01:34 AM 04 01 34 .000; Data: 0.790435; } 
[Sensor: Sin Wave 2] { Time: 4:01:35 AM 04 01 35 .000; Data: 0.942513; } 
[Sensor: Sin Wave 2] { Time: 4:01:40 AM 04 01 40 .000; Data: 0.587798; } 
[Sensor: Sin Wave 2] { Time: 4:01:45 AM 04 01 45 .000; Data: -0.609041; } 
[Sensor: Sin Wave 2] { Time: 4:01:50 AM 04 01 50 .000; Data: -0.933322; } 
[Sensor: Sin Wave 2] { Time: 4:01:55 AM 04 01 55 .000; Data: 0.079545; } 
[Sensor: Sin Wave 2] { Time: 4:02:00 AM 04 02 00 .000; Data: 0.978450; } 
[Sensor: Sin Wave 2] { Time: 4:02:05 AM 04 02 05 .000; Data: 0.475553; } 
[Sensor: Sin Wave 2] { Time: 4:02:10 AM 04 02 10 .000; Data: -0.708657; } 
[Sensor: Sin Wave 2] { Time: 4:02:15 AM 04 02 15 .000; Data: -0.877592; } 
[Sensor: Sin Wave 2] { Time: 4:02:20 AM 04 02 20 .000; Data: 0.210778; } 
[Sensor: Sin Wave 2] { Time: 4:02:25 AM 04 02 25 .000; Data: 0.997171; } 
[Sensor: Sin Wave 2] { Time: 4:02:30 AM 04 02 30 .000; Data: 0.354942; } 
[Sensor: Sin Wave 2] { Time: 4:02:35 AM 04 02 35 .000; Data: -0.795804; } 
[Sensor: Sin Wave 2] { Time: 4:02:40 AM 04 02 40 .000; Data: -0.806421; } 
[Sensor: Sin Wave 2] { Time: 4:02:45 AM 04 02 45 .000; Data: 0.338302; } 
[Sensor: Sin Wave 2] { Time: 4:02:50 AM 04 02 50 .000; Data: 0.998347; } 
[Sensor: Sin Wave 2] { Time: 4:02:55 AM 04 02 55 .000; Data: 0.228085; } 
[Sensor: Sin Wave 2] { Time: 4:03:00 AM 04 03 00 .000; Data: -0.868949; } 
[Sensor: Sin Wave 2] { Time: 4:03:05 AM 04 03 05 .000; Data: -0.721061; } 
[Sensor: Sin Wave 2] { Time: 4:03:10 AM 04 03 10 .000; Data: 0.459874; } 
[Sensor: Sin Wave 2] { Time: 4:03:15 AM 04 03 15 .000; Data: 0.981959; } 
[Sensor: Sin Wave 2] { Time: 4:03:20 AM 04 03 20 .000; Data: 0.097216; } 
[Sensor: Sin Wave 2] { Time: 4:03:25 AM 04 03 25 .000; Data: -0.926806; } 
[Sensor: Sin Wave 2] { Time: 4:03:30 AM 04 03 30 .000; Data: -0.623015; } 
[Sensor: Sin Wave 2] { Time: 4:03:35 AM 04 03 35 .000; Data: 0.573354; } 
[Sensor: Sin Wave 2] { Time: 4:03:40 AM 04 03 40 .000; Data: 0.948293; } 
[Sensor: Sin Wave 2] { Time: 4:03:45 AM 04 03 45 .000; Data: -0.035365; } 
[Sensor: Sin Wave 2] { Time: 4:03:50 AM 04 03 50 .000; Data: -0.968356; } 
[Sensor: Sin Wave 2] { Time: 4:03:55 AM 04 03 55 .000; Data: -0.514007; } 
[Sensor: Sin Wave 2] { Time: 4:04:00 AM 04 04 00 .000; Data: 0.676747; } 
